,SMILES,CID,Unnamed: 2,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,LogP,MW,HBD,HBA,PSA,ROTB,AROM,FSP3,FC,QED
0,O=C(Cn1ccnc1)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,EDG-MED-70ae9412-1,,,2.879608652,5.54066653,,,,3.5601,475.936,2,6,98.14,6,4,0.2,0,0.444070697
1,CN(C)CC(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,EDG-MED-70ae9412-2,,,5.004723825,5.300619883,,,,3.225,452.942,2,5,83.56,6,3,0.291666667,0,0.599609355
2,O=C(Nc1cncc2ccccc12)[C@@]1(O)CCOc2ccc(Cl)cc21,MAT-POS-9db1e783-1,,,,,,,,3.497,354.793,2,4,71.45,2,3,0.157894737,0,0.73854717
3,O=C(Nc1cncc2ccccc12)C1(CO)CCOc2ccc(Cl)cc21,MAT-POS-9db1e783-2,,,1.088035845,5.963356797,,,,3.5395,368.82,2,4,71.45,3,3,0.2,0,0.741383302
4,COC(=O)/C=C/C(=O)N(C(=O)[C@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12,MAT-POS-9db1e783-3,,,4.357513799,5.360761229,,,,4.0433,450.878,0,6,85.8,4,3,0.166666667,0,0.440153587
5,CN1C(=O)CCc2cc(N(C(=O)c3cocn3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)ccc21,ALP-POS-ced8ea4d-1,,,63.53320899,4.196999208,,,,3.8647,527.556,1,6,108.64,8,4,0.206896552,0,0.372816899
6,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)C1CC2CCCC2C1,ALP-POS-ced8ea4d-2,,,,,,,,4.3298,476.552,1,5,88.33,8,3,0.407407407,0,0.52288177
7,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)C1CCc2cc(F)ccc21,ALP-POS-ced8ea4d-3,,,,,,,,4.5777,502.521,1,5,88.33,8,4,0.214285714,0,0.38121435
8,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)C1COc2ccccc2C1,ALP-POS-ced8ea4d-4,,,99.5,,,,,3.7548,500.53,1,6,97.56,8,4,0.214285714,0,0.395816228
9,CC(C)S(=O)(=O)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-ced8ea4d-5,,,66.10954847,4.179735809,,,,4.1378,550.612,1,7,122.47,10,4,0.214285714,0,0.314906734
10,COC1CC2(C1)CC(N(C(=O)c1cocn1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C2,ALP-POS-ced8ea4d-6,,,99.5,,,,,3.7087,492.551,1,6,97.56,9,3,0.407407407,0,0.489191843
11,Cn1ncc2cc(N(C(=O)c3cocn3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)ccc21,ALP-POS-ced8ea4d-8,,,48.02397319,4.318541912,,,,3.8424,498.518,1,7,106.15,8,5,0.148148148,0,0.348483763
12,CS(=O)(=O)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-ced8ea4d-9,,,75.90312008,4.119740372,,,,3.3592,522.558,1,7,122.47,9,4,0.153846154,0,0.357634698
13,Cn1cnc2cc(N(C(=O)c3cocn3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)ccc21,ALP-POS-ced8ea4d-10,,,99.5,,,,,3.8424,498.518,1,7,106.15,8,5,0.148148148,0,0.348483763
14,CS(=O)(=O)Cc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-ced8ea4d-11,,,27.6584027,4.558172904,,,,3.5003,536.585,1,7,122.47,10,4,0.185185185,0,0.329144604
